MemTotal:         909680 kB
MemFree:           40040 kB
MemAvailable:     389508 kB
Buffers:           22732 kB
Cached:           378792 kB
SwapCached:        81772 kB
Active:           263580 kB
Inactive:         286096 kB
Active(anon):      46596 kB
Inactive(anon):   107264 kB
Active(file):     216984 kB
Inactive(file):   178832 kB
Unevictable:        4404 kB
Mlocked:             256 kB
HighTotal:        415740 kB
HighFree:          11184 kB
LowTotal:         493940 kB
LowFree:           28856 kB
SwapTotal:        786428 kB
SwapFree:         505964 kB
Dirty:                88 kB
Writeback:             0 kB
AnonPages:        106540 kB
Mapped:           210832 kB
Shmem:              1612 kB
Slab:              50724 kB
SReclaimable:      15268 kB
SUnreclaim:        35456 kB
KernelStack:        9880 kB
PageTables:        21564 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:     1241268 kB
Committed_AS:   28230600 kB
VmallocTotal:     499712 kB
VmallocUsed:           0 kB
VmallocChunk:          0 kB
CmaTotal:              0 kB
CmaFree:               0 kB
