major minor  #blocks  name

 254        0     786432 zram0
 179        0    7471104 mmcblk0
 179        1       1024 mmcblk0p1
 179        2      61440 mmcblk0p2
 179        3        512 mmcblk0p3
 179        4      20480 mmcblk0p4
 179        5       1024 mmcblk0p5
 179        6       8192 mmcblk0p6
 179        7      32768 mmcblk0p7
 179        8      32768 mmcblk0p8
 179        9       8192 mmcblk0p9
 179       10      13792 mmcblk0p10
 179       11       8192 mmcblk0p11
 179       12      49152 mmcblk0p12
 179       13       2048 mmcblk0p13
 179       14       3072 mmcblk0p14
 179       15        512 mmcblk0p15
 179       16      65536 mmcblk0p16
 179       17      16384 mmcblk0p17
 179       18       1024 mmcblk0p18
 179       19       1024 mmcblk0p19
 179       20      16384 mmcblk0p20
 179       21      16384 mmcblk0p21
 179       22       5120 mmcblk0p22
 179       23       1024 mmcblk0p23
 179       24       1024 mmcblk0p24
 179       25         64 mmcblk0p25
 179       26         64 mmcblk0p26
 179       27      24576 mmcblk0p27
 179       28       8192 mmcblk0p28
 179       29      10240 mmcblk0p29
 179       30       5120 mmcblk0p30
 179       31      10624 mmcblk0p31
 259        0    2621440 mmcblk0p32
 259        1     442368 mmcblk0p33
 259        2    3964911 mmcblk0p34
 259        3      16384 mmcblk0p35
 179       96       4096 mmcblk0rpmb
 179       64       4096 mmcblk0boot1
 179       32       4096 mmcblk0boot0
 253        0    2580508 dm-0
 253        1    3964911 dm-1
